[25, 104]
(79, 19)
(29, 1) | (73, 6)
(97, 9, 1, 1)
(98, 9, 1, 1)
(99, 9, 1, 1)
(100, 9, 1, 1)
(3, 10, 1, 1)
(4, 10, 1, 1)
(5, 10, 1, 1)
(6, 10, 1, 1)
(7, 10, 1, 1)
(8, 10, 1, 1)
(9, 10, 1, 1)
(10, 10, 1, 1)
(11, 10, 1, 1)
(12, 10, 1, 1)
(13, 10, 1, 1)
(14, 10, 1, 1)
(15, 10, 1, 1)
(16, 10, 1, 1)
(17, 10, 1, 1)
(18, 10, 1, 1)
(19, 10, 1, 1)
(20, 10, 1, 1)
(21, 10, 1, 1)
(22, 10, 1, 1)
(23, 10, 1, 1)
(24, 10, 1, 1)
(25, 10, 1, 1)
(26, 10, 1, 1)
(27, 10, 1, 1)
(28, 10, 1, 1)
(30, 10, 1, 1)
(31, 10, 1, 1)
(32, 10, 1, 1)
(33, 10, 1, 1)
(34, 10, 1, 1)
(36, 10, 1, 1)
(37, 10, 1, 1)
(38, 10, 1, 1)
(40, 10, 1, 1)
(41, 10, 1, 1)
(42, 10, 1, 1)
(43, 10, 1, 1)
(44, 10, 1, 1)
(45, 10, 1, 1)
(46, 10, 1, 1)
(47, 10, 1, 1)
(48, 10, 1, 1)
(49, 10, 1, 1)
(50, 10, 1, 1)
(51, 10, 1, 1)
(52, 10, 1, 1)
(55, 10, 1, 1)
(58, 10, 1, 1)
(72, 10, 1, 1)
(75, 10, 1, 1)
(83, 10, 1, 1)
(30, 11, 1, 1)
(55, 11, 1, 1)
(58, 11, 1, 1)
(61, 11, 1, 1)
(30, 12, 1, 1)
(55, 12, 1, 1)
(58, 12, 1, 1)
(61, 12, 1, 1)
(62, 12, 1, 1)
(63, 12, 1, 1)
(64, 12, 1, 1)
(65, 12, 1, 1)
(66, 12, 1, 1)
(67, 12, 1, 1)
(68, 12, 1, 1)
(69, 12, 1, 1)
(70, 12, 1, 1)
(71, 12, 1, 1)
(73, 12, 1, 1)
(74, 12, 1, 1)
(75, 12, 1, 1)
(76, 12, 1, 1)
(77, 12, 1, 1)
(78, 12, 1, 1)
(79, 12, 1, 1)
(80, 12, 1, 1)
(81, 12, 1, 1)
(82, 12, 1, 1)
(83, 12, 1, 1)
(84, 12, 1, 1)
(85, 12, 1, 1)
(86, 12, 1, 1)
(87, 12, 1, 1)
(88, 12, 1, 1)
(89, 12, 1, 1)
(90, 12, 1, 1)
(91, 12, 1, 1)
(92, 12, 1, 1)
(93, 12, 1, 1)
(94, 12, 1, 1)
(95, 12, 1, 1)
(96, 12, 1, 1)
(97, 12, 1, 1)
(98, 12, 1, 1)
(99, 12, 1, 1)
(101, 12, 1, 1)
(1, 13, 1, 1)
(2, 13, 1, 1)
(3, 13, 1, 1)
(4, 13, 1, 1)
(5, 13, 1, 1)
(6, 13, 1, 1)
(7, 13, 1, 1)
(8, 13, 1, 1)
(9, 13, 1, 1)
(10, 13, 1, 1)
(11, 13, 1, 1)
(12, 13, 1, 1)
(13, 13, 1, 1)
(14, 13, 1, 1)
(15, 13, 1, 1)
(16, 13, 1, 1)
(17, 13, 1, 1)
(18, 13, 1, 1)
(19, 13, 1, 1)
(20, 13, 1, 1)
(21, 13, 1, 1)
(22, 13, 1, 1)
(23, 13, 1, 1)
(24, 13, 1, 1)
(26, 13, 1, 1)
(27, 13, 1, 1)
(28, 13, 1, 1)
(29, 13, 1, 1)
(30, 13, 1, 1)
(31, 13, 1, 1)
(32, 13, 1, 1)
(33, 13, 1, 1)
(34, 13, 1, 1)
(35, 13, 1, 1)
(36, 13, 1, 1)
(38, 13, 1, 1)
(39, 13, 1, 1)
(40, 13, 1, 1)
(41, 13, 1, 1)
(42, 13, 1, 1)
(43, 13, 1, 1)
(44, 13, 1, 1)
(45, 13, 1, 1)
(46, 13, 1, 1)
(47, 13, 1, 1)
(48, 13, 1, 1)
(49, 13, 1, 1)
(50, 13, 1, 1)
(51, 13, 1, 1)
(52, 13, 1, 1)
(53, 13, 1, 1)
(55, 13, 1, 1)
(58, 13, 1, 1)
(61, 13, 1, 1)
(75, 13, 1, 1)
(30, 14, 1, 1)
(55, 14, 1, 1)
(61, 14, 1, 1)
(11, 15, 1, 1)
(30, 15, 1, 1)
(33, 15, 1, 1)
(36, 15, 1, 1)
(48, 15, 1, 1)
(55, 15, 1, 1)
(56, 15, 1, 1)
(57, 15, 1, 1)
(58, 15, 1, 1)
(59, 15, 1, 1)
(60, 15, 1, 1)
(61, 15, 1, 1)
(62, 15, 1, 1)
(63, 15, 1, 1)
(64, 15, 1, 1)
(65, 15, 1, 1)
(66, 15, 1, 1)
(67, 15, 1, 1)
(68, 15, 1, 1)
(69, 15, 1, 1)
(70, 15, 1, 1)
(71, 15, 1, 1)
(72, 15, 1, 1)
(73, 15, 1, 1)
(74, 15, 1, 1)
(75, 15, 1, 1)
(76, 15, 1, 1)
(77, 15, 1, 1)
(78, 15, 1, 1)
(79, 15, 1, 1)
(80, 15, 1, 1)
(81, 15, 1, 1)
(82, 15, 1, 1)
(83, 15, 1, 1)
(84, 15, 1, 1)
(85, 15, 1, 1)
(86, 15, 1, 1)
(87, 15, 1, 1)
(88, 15, 1, 1)
(89, 15, 1, 1)
(91, 15, 1, 1)
(92, 15, 1, 1)
(93, 15, 1, 1)
(94, 15, 1, 1)
(95, 15, 1, 1)
(96, 15, 1, 1)
(97, 15, 1, 1)
(98, 15, 1, 1)
(99, 15, 1, 1)
(100, 15, 1, 1)
(101, 15, 1, 1)
(102, 15, 1, 1)
(11, 16, 1, 1)
(33, 16, 1, 1)
(36, 16, 1, 1)
(37, 16, 1, 1)
(38, 16, 1, 1)
(39, 16, 1, 1)
(40, 16, 1, 1)
(42, 16, 1, 1)
(43, 16, 1, 1)
(44, 16, 1, 1)
(45, 16, 1, 1)
(46, 16, 1, 1)
(47, 16, 1, 1)
(48, 16, 1, 1)
(49, 16, 1, 1)
(50, 16, 1, 1)
(55, 16, 1, 1)
(58, 16, 1, 1)
(61, 16, 1, 1)
(85, 16, 1, 1)
(2, 17, 1, 1)
(3, 17, 1, 1)
(4, 17, 1, 1)
(5, 17, 1, 1)
(6, 17, 1, 1)
(7, 17, 1, 1)
(8, 17, 1, 1)
(9, 17, 1, 1)
(10, 17, 1, 1)
(11, 17, 1, 1)
(12, 17, 1, 1)
(13, 17, 1, 1)
(14, 17, 1, 1)
(15, 17, 1, 1)
(16, 17, 1, 1)
(17, 17, 1, 1)
(18, 17, 1, 1)
(19, 17, 1, 1)
(20, 17, 1, 1)
(21, 17, 1, 1)
(22, 17, 1, 1)
(23, 17, 1, 1)
(24, 17, 1, 1)
(25, 17, 1, 1)
(26, 17, 1, 1)
(27, 17, 1, 1)
(30, 17, 1, 1)
(36, 17, 1, 1)
(55, 17, 1, 1)
(58, 17, 1, 1)
(61, 17, 1, 1)
(80, 17, 1, 1)
(85, 17, 1, 1)
(11, 18, 1, 1)
(13, 18, 1, 1)
(30, 18, 1, 1)
(63, 18, 1, 1)
(64, 18, 1, 1)
(65, 18, 1, 1)
(66, 18, 1, 1)
(67, 18, 1, 1)
(68, 18, 1, 1)
(70, 18, 1, 1)
(71, 18, 1, 1)
(72, 18, 1, 1)
(73, 18, 1, 1)
(74, 18, 1, 1)
(75, 18, 1, 1)
(76, 18, 1, 1)
(77, 18, 1, 1)
(78, 18, 1, 1)
(79, 18, 1, 1)
(80, 18, 1, 1)
(82, 18, 1, 1)
(83, 18, 1, 1)
(85, 18, 1, 1)
(86, 18, 1, 1)
(87, 18, 1, 1)
(89, 18, 1, 1)
(90, 18, 1, 1)
(91, 18, 1, 1)
(92, 18, 1, 1)
(93, 18, 1, 1)
(94, 18, 1, 1)
(95, 18, 1, 1)
(96, 18, 1, 1)
(97, 18, 1, 1)
(98, 18, 1, 1)
(99, 18, 1, 1)
(100, 18, 1, 1)
(4, 19, 1, 1)
(5, 19, 1, 1)
(6, 19, 1, 1)
(7, 19, 1, 1)
(8, 19, 1, 1)
(9, 19, 1, 1)
(11, 19, 1, 1)
(13, 19, 1, 1)
(14, 19, 1, 1)
(15, 19, 1, 1)
(16, 19, 1, 1)
(17, 19, 1, 1)
(18, 19, 1, 1)
(19, 19, 1, 1)
(20, 19, 1, 1)
(21, 19, 1, 1)
(23, 19, 1, 1)
(24, 19, 1, 1)
(25, 19, 1, 1)
(26, 19, 1, 1)
(27, 19, 1, 1)
(30, 19, 1, 1)
(31, 19, 1, 1)
(32, 19, 1, 1)
(33, 19, 1, 1)
(34, 19, 1, 1)
(35, 19, 1, 1)
(36, 19, 1, 1)
(37, 19, 1, 1)
(38, 19, 1, 1)
(39, 19, 1, 1)
(40, 19, 1, 1)
(41, 19, 1, 1)
(42, 19, 1, 1)
(43, 19, 1, 1)
(44, 19, 1, 1)
(45, 19, 1, 1)
(46, 19, 1, 1)
(47, 19, 1, 1)
(48, 19, 1, 1)
(50, 19, 1, 1)
(51, 19, 1, 1)
(52, 19, 1, 1)
(55, 19, 1, 1)
(58, 19, 1, 1)
(61, 19, 1, 1)
(85, 19, 1, 1)
(4, 20, 1, 1)
(11, 20, 1, 1)
(30, 20, 1, 1)
(36, 20, 1, 1)
(55, 20, 1, 1)
(58, 20, 1, 1)
(61, 20, 1, 1)
(4, 21, 1, 1)
(11, 21, 1, 1)
(13, 21, 1, 1)
(30, 21, 1, 1)
(33, 21, 1, 1)
(36, 21, 1, 1)
(37, 21, 1, 1)
(38, 21, 1, 1)
(39, 21, 1, 1)
(40, 21, 1, 1)
(42, 21, 1, 1)
(43, 21, 1, 1)
(44, 21, 1, 1)
(45, 21, 1, 1)
(46, 21, 1, 1)
(48, 21, 1, 1)
(49, 21, 1, 1)
(50, 21, 1, 1)
(51, 21, 1, 1)
(55, 21, 1, 1)
(58, 21, 1, 1)
(61, 21, 1, 1)
(62, 21, 1, 1)
(63, 21, 1, 1)
(64, 21, 1, 1)
(65, 21, 1, 1)
(66, 21, 1, 1)
(67, 21, 1, 1)
(68, 21, 1, 1)
(69, 21, 1, 1)
(70, 21, 1, 1)
(71, 21, 1, 1)
(72, 21, 1, 1)
(73, 21, 1, 1)
(75, 21, 1, 1)
(76, 21, 1, 1)
(77, 21, 1, 1)
(78, 21, 1, 1)
(79, 21, 1, 1)
(80, 21, 1, 1)
(81, 21, 1, 1)
(82, 21, 1, 1)
(83, 21, 1, 1)
(84, 21, 1, 1)
(85, 21, 1, 1)
(86, 21, 1, 1)
(87, 21, 1, 1)
(88, 21, 1, 1)
(89, 21, 1, 1)
(90, 21, 1, 1)
(91, 21, 1, 1)
(92, 21, 1, 1)
(93, 21, 1, 1)
(94, 21, 1, 1)
(95, 21, 1, 1)
(96, 21, 1, 1)
(97, 21, 1, 1)
(98, 21, 1, 1)
(99, 21, 1, 1)
(100, 21, 1, 1)
(101, 21, 1, 1)
(30, 22, 1, 1)
(36, 22, 1, 1)
(55, 22, 1, 1)
(58, 22, 1, 1)
(61, 22, 1, 1)
(85, 22, 1, 1)
(30, 23, 1, 1)
(55, 23, 1, 1)
(61, 23, 1, 1)
(55, 24, 1, 1)
